"Location_ID","X_Coord","Y_Coord","Latitude","Longitude","Coord_Units","Coord_System","UTM_Zone","Datum","Est_H_Error","Unit_ID","Loc_Type","Loc_Notes","Plot_Number","GRTS_Order","Panel","Directions","Rejected","Elevation","Aspect","Orientation","Change_Orientation","Physiographic_Class","Terrain_Position","USNVC_Formation","Created_By","Created_Date","Updated_By","Updated_Date","Stand_Origin_Year"
"05011B50-25AD-420F-BF61-72271458D60C",284855,4236297,38.24896058,-77.45863097,"meters","UTM","18N","NAD83",1.89999997615814,"FRSP_FRED","VS","2014 - changed orientation from 360 to 358 degrees","275",23,"4","1.3Km from parking lot along trail, then 100m bushwack. Or very close to mine rd.",FALSE,NA,0,358,FALSE,21,NA,NA,"{501A76CE-EBF1-4C9C-84CE-9054EF60994B}",2010-09-08 16:18:43,"Camilla  Seirup",2014-09-04 09:32:09,NA
"05C53023-582B-40A6-948C-4591DE2297F8",NA,NA,NA,NA,"Meters","UTM","18N","NAD83",NA,"FRSP_SPOT","VS","Plot center located on main one way road",NA,24,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,2010-09-08 17:14:15,NA,2010-09-08 17:14:15,NA
"083DF5A4-6106-4917-BFE9-5432B6A5AE85",290350,4122799,37.22815187,-77.36315032,"meters","UTM","18N","NAD83",2.70000004768372,"PETE_EAST","VS","Open, lots of pine trees down. Hardwoods coming in.","137",17,"2","Take any of the many trails to plot, about 500m anyway.",FALSE,NA,325,145,FALSE,21,NA,NA,"Evan K Heck",2012-06-13 16:20:05,"Camilla  Seirup",2016-09-14 08:25:44,NA
"084E24C9-CCED-44BC-9299-6707C25C86D2",300848,4143796,37.41957307,-77.25053909,"meters","UTM","18N","NAD83",2.29999995231628,"RICH","VS","Sparse, low shrub/vine understory,","134",19,"2","About 30 m East of road.",FALSE,NA,0,360,FALSE,19,NA,NA,"Jesse S Wheeler",2012-06-13 16:20:05,"Jesse S Wheeler",2012-09-13 08:07:59,NA
"08640293-FC49-4D9C-84A3-2850E64A4CB7",365597,4119046,37.20822253,-76.51464473,"meters","UTM","18N","NAD83",1.79999995231628,"COLO_YORK","VS","Mixed hardwood forest with Asimina triloba understory.","350",35,"2","Park along park road (towards French Encampments). Follow mowed area along margin of the field until about 120 meters from plot.",FALSE,NA,0,360,FALSE,22,NA,NA,"Evan K Heck",2012-08-21 08:23:20,"Josh J Hamrick",2016-08-11 10:56:08,NA
"09223162-AAED-42FC-9044-536AC1C40668",460857,4440310,40.11218622,-75.45931706,"meters","UTM","18N","NAD83",3.5,"VAFO","VS","Plot orientation changed from 360 to 343.","080",13,"2","Park at Pawlings Farm off Walnut Rd and walk to plot (approximately 470m from Commissary Trail Parking)",FALSE,NA,240,344,FALSE,21,NA,NA,"Josh J Hamrick",2012-06-13 16:20:05,"Josh J Hamrick",2016-07-26 14:28:52,NA
"09403DE6-D6BA-44ED-8A6C-3A7E72C32AEF",286103,4236048,38.24701635,-77.44430598,"meters","UTM","18N","NAD83",0,"FRSP_FRED","VS","Plot center in dry vernal pool. Vaccinium understory, oak canopy.","054",2,"1","Park at tour stop 5, union breakthrough. 400 m from park road, bushwack.",FALSE,NA,0,11,FALSE,31,NA,NA,"Johanna  Fickenscher",2011-10-04 09:03:45,"Camilla  Seirup",2019-09-24 11:41:05,NA
"0A0299F2-2713-4CF8-8B07-C1408569EA91",285844,4236304,38.24925978,-77.44734055,"meters","UTM","18N","NAD83",1.60000002384186,"FRSP_FRED","VS","BR at base of large oak ; BL near trail and driven deep
orientation changed to 2. reset UR, BR, BM, UR- werent there. BL- rebar at 12 because of trail, no white stake","278",26,"4","Trail runs through bottom of plot",FALSE,NA,180,2,FALSE,21,NA,NA,"{1E30DBBB-8860-48D4-95EC-A8F90A7ED26B}",2010-09-28 13:38:23,"Camilla  Seirup",2014-09-04 14:20:40,NA
"0A13FEF8-0EBA-4DEF-838C-86783C1DEB3E",284595,4237044,38.25562443,-77.4618267,"meters","UTM","18N","NAD83",0,"FRSP_FRED","VS","Fairly open site, mixed hardwood forest.","001",6,"1","Walk along road then cut into woods. Site is 100 m in.",FALSE,NA,340,357,FALSE,21,NA,NA,"Sarah  Wakamiya",2011-07-13 11:10:56,"Devon R Brock-Montgomery",2019-09-03 12:32:37,NA
"0A4CB0BE-DAA8-4609-900E-617B76E700E8",343597,4119555,37.2093796,-76.76257932,"meters","UTM","18N","NAD83",2.20000004768372,"COLO_JAMES","VS","center stake tagged with 15833.","354",8,"2","Stop at pull off on right side of road and walk peninsula of upland between 2 marshy areas to plot.",FALSE,NA,0,360,FALSE,21,NA,NA,"Kate M Miller",2012-08-22 08:51:24,"Josh J Hamrick",2016-08-16 11:24:35,NA
"0BC036C3-A10E-4CCE-A28A-F591019F590D",297600,4163048,37.5922608,-77.29251576,"meters","UTM","18N","NAD83",NA,"RICH","VS","Close to old road. Gently sloping hill surrounded by trenches. Orientation changed from 360 to 5 degrees.","020",9,"1",NA,FALSE,NA,315,5,FALSE,12,NA,NA,"Josh J Hamrick",2012-06-13 16:20:05,"Josh J Hamrick",2015-09-09 13:01:23,NA
"0C02B514-2EDA-4812-AC69-5CEF93FB9A90",271605,4233806,38.22326492,-77.60910621,"meters","UTM","18N","NAD83",NA,"FRSP_SPOT","VS",NA,"116",9,"2",NA,FALSE,NA,170,350,FALSE,23,NA,NA,"Evan K Heck",2012-06-13 16:20:05,"Evan K Heck",2012-09-04 10:09:08,NA
"0DC9B1F2-E757-4173-8D87-D2DCA04751B9",310343,4411060,NA,NA,"meters","UTM","18N","NAD83",5.5,"GETT","VS",NA,NA,33,NA,"DATE: 08/05/2009
Site locaed on the top of man-made dirt mounds (buldozed dirt) between two fields. Area of trees also too thin for plot. (see data sheet for diagram)

Reason for Exclusion:
1.) Plot Center is <15m from:Earthwork
2.) Plot Habbitat:Site managed as an open field",TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,2012-06-13 16:20:05,NA,2012-06-13 16:20:05,NA
"0EE2EFCF-5BE4-4DD3-9BF3-F7673DC8BBD9",290844,4122558,37.22609227,-77.3575187,"meters","UTM","18N","NAD83",2.5,"PETE_EAST","VS","Mixed hardwood canopy, Mic vim in understory. Changed orientation from 334 to 338.","298",27,"4","Park Rd. into forest, then off trail 200 meters.",FALSE,NA,14,338,FALSE,23,NA,NA,"{501A76CE-EBF1-4C9C-84CE-9054EF60994B}",2010-09-26 16:52:42,"Camilla  Seirup",2014-09-09 08:53:35,NA
"0F8FB761-20F8-4349-8DF9-F5600C77F3FD",273350,4233052,38.21691768,-77.58895006,"meters","UTM","18N","NAD83",NA,"FRSP_SPOT","VS","Mixed hardwood canopy with sparse groundcover","017",6,"1","Park along tour road before wetland, bushwack 200m",FALSE,NA,240,10,FALSE,22,NA,NA,"Johanna  Fickenscher",2011-09-01 16:42:58,"Devon R Brock-Montgomery",2019-08-22 15:19:51,NA
"114758C4-C7D4-40C7-939C-6B2082ABF5F7",612837,4107570,37.10765943,-79.73006334,"meters","UTM","17N","NAD83",NA,"BOWA","VS","Floodplain forest of ash and tulip poplar.  Moderate regen and shrub cover.  Plot center is buried partially, make sure your metal detector is working!.","005",1,"1","Drive down road/trail and park at the intersection of the cutoff trail.  Plot is down the bank toward Jack-O-Lantern creed about 50m.",FALSE,NA,130,5,FALSE,26,NA,NA,"Johanna  Fickenscher",2011-09-06 14:09:54,"Josh J Hamrick",2015-08-03 13:39:39,NA
"11C52685-9163-4320-B307-835FA629C870",695569,4140096,37.38701056,-78.79090227,"meters","UTM","17N","NAD83",2.70000004768372,"APCO","VS","Changed plot orientation from 360 to 2 in 2013.","184",19,"3",NA,FALSE,NA,180,2,FALSE,21,NA,NA,"Jesse S Wheeler",2012-06-13 16:20:05,"Camilla  Seirup",2019-12-18 15:21:30,NA
"12453211-350B-4B17-B683-7CC46F993A97",284402,4237060,38.25572221,-77.46403545,"meters","UTM","18N","NAD83",1.20000004768372,"FRSP_FRED","Deer","Added '6' to beginning of plot number to denote Deer Exclosure Plot. Quad A5 placed at 3.8 m due to fence.","6328",3,"1",NA,FALSE,NA,180,360,FALSE,21,NA,NA,"Johanna  Fickenscher",2011-09-26 16:07:48,"Josh J Hamrick",2015-08-17 14:23:42,NA
"136E8278-C393-4712-8D43-950188D862A7",322350,4266058,38.52520018,-77.0379333,"meters","UTM","18N","NAD83",3.70000004768372,"THST","VS","liriodendron dominated; ravine through plot","212",3,"3","Drive on dirt road past visitor's center. Then, drive margin of field to within about 90 m of plot.",FALSE,NA,188,353,FALSE,23,NA,NA,"mary  short",2012-06-13 16:20:05,"mary  short",2013-08-28 11:05:10,NA
"146A13D8-AC6C-4668-A2FC-B27EE47DEFB6",364842,4121794,37.23287539,-76.52364851,"meters","UTM","18N","NAD83",5,"COLO_YORK","VS","Loblolly/Tulip Poplar canopy, Carpinus subcanopy, sparse ground cover.","379",58,"4","Park on Colonial Parkway, about 200m from plot. Plot center marked with tag # 14383.",FALSE,NA,0,360,FALSE,21,NA,NA,"Camilla  Seirup",2014-08-13 14:21:38,"Camilla  Seirup",2014-08-13 14:37:14,NA
"14B61E99-2FE1-4F26-B02F-9DC2E7DEAFD8",268607,4243814,38.31259957,-77.64659067,"meters","UTM","18N","NAD83",3.79999995231628,"FRSP_CHWILD","VS","mixed hardwood with heath and ilex understory; orientation changed from previously stated 360","210",30,"3","park on tour road past the vistor center and take trail to first intersection and turn right, plot is 30m from trail",FALSE,NA,0,2,FALSE,21,NA,NA,"Camilla  Seirup",2012-06-13 16:20:05,"Camilla  Seirup",2013-08-20 13:26:05,NA
"15004FAD-C515-410E-84A1-968D618A4DB1",272606,4233575,38.22143871,-77.597608,"meters","UTM","18N","NAD83",2.09999990463257,"FRSP_SPOT","VS","Moved plot 20 m north due to yellow jacket nest.  DMS got stung 5 times; 2 in left arm ,1 on chest, and 2 on the head and face region!!!! 2014 - White oak canopy, sparse understory.","315",22,"4","Go 250m at 56 deg. From McCoull house site.",FALSE,NA,0,360,FALSE,21,NA,NA,"{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",2010-09-20 16:02:10,"Camilla  Seirup",2014-08-18 08:06:49,NA
"1536BE78-5E3E-4D29-881A-22AEFEB39980",694193,4138512,37.37303238,-78.80685049,"meters","UTM","17N","NAD83",3.90000009536743,"APCO","VS",NA,"108",15,"2",NA,FALSE,NA,0,360,FALSE,21,NA,NA,"Evan K Heck",2012-06-13 16:20:05,"Josh J Hamrick",2016-08-08 10:41:58,NA
"153A7EE2-94CB-4EEB-B872-E72EDCF741BB",330878,4229807,38.20034227,-76.93145696,"Meters","UTM","18N","NAD83",2.09999990463257,"GEWA","BN","Shells in plot. Added '5' to beginning of plot number to denote Bonus Plot","5159",NA,"2","Park at beach area",FALSE,NA,0,360,FALSE,11,NA,NA,"Jesse S Wheeler",2010-07-02 12:28:31,"Josh J Hamrick",2016-09-06 14:17:40,NA
"15425241-9E85-4AA7-9281-C4AB7E086209",291351,4123059,37.2307181,-77.35194862,"meters","UTM","18N","NAD83",2.40000009536743,"PETE_EAST","VS",NA,"135",13,"2",NA,FALSE,NA,300,145,FALSE,21,NA,NA,"Jesse S Wheeler",2012-06-13 16:20:05,"Jesse S Wheeler",2012-09-10 11:20:17,NA
"15E63291-8112-4DD5-9281-7E3A58659F11",299353,4159294,37.55883451,-77.27164666,"meters","UTM","18N","NAD83",1.39999997615814,"RICH","VS","Large tip-up in plot. Mixed hardwood, open canopy. Shrubby subcanopy with ferns in understory.  Very large dead fallen tree through plot creating very large tip-up and large depression near UL microplot.  UL microplot reset to 7m after being misplaced by tip-up","307",33,"4","Take dirt road under power lines w/ the Ship and Wilson lanscaping sign. Plot on left park at fence/gate.",FALSE,NA,0,360,FALSE,26,NA,NA,"{501A76CE-EBF1-4C9C-84CE-9054EF60994B}",2010-09-20 16:16:54,"Camilla  Seirup",2014-08-28 15:27:05,NA
"1617239E-915E-497B-95D3-AEA6271ABCD9",309110,4409536,39.81438915,-77.23017176,"meters","UTM","18N","NAD83",3.29999995231628,"GETT","VS","Open plot with White mulberry","090",23,"2","Just off of Hunt Ave.",FALSE,NA,0,360,FALSE,12,NA,NA,"Jesse S Wheeler",2012-06-13 16:20:05,"Jesse S Wheeler",2012-08-07 09:10:25,NA
"16AD3B52-0320-4A25-B110-0CCD59F74038",269106,4243055,38.30589502,-77.64064095,"meters","UTM","18N","NAD83",3.40000009536743,"FRSP_CHWILD","VS","oak heath, a bit open. Changed plot orientation from 113 to 93","127",17,"2","park on tour rd.",FALSE,NA,293,93,FALSE,12,NA,NA,"Thomas  Faust",2012-06-13 16:20:05,"Camilla  Seirup",2016-09-08 14:32:31,NA
"170B610D-B68F-4AC2-A07D-C5B72EE1BD4E",266599,4113799,37.14146772,-77.62781351,"meters","UTM","18N","NAD83",4.09999990463257,"PETE_FIVE","VS","Loblolly pine canopy with holly and tuliptree midstory.  Little understory growth.","193",16,"3","Drive along field by tree line to trail; continue about 300 m to park; Hike in perpendicular to trail 100 m",FALSE,NA,0,360,FALSE,21,NA,NA,"Camilla  Seirup",2012-06-13 16:20:05,"Camilla  Seirup",2013-09-10 08:28:22,NA
"18B8733A-4C14-4A12-B183-0E44BEC77DCB",259101,4242307,38.29653085,-77.7546895,"meters","UTM","18N","NAD83",3.40000009536743,"FRSP_CHWILD","VS",NA,"149",24,"2",NA,FALSE,NA,168,348,FALSE,12,NA,NA,"Evan K Heck",2012-06-13 16:20:05,"Evan K Heck",2012-08-30 12:37:59,NA
"1AAC9C00-31BE-4CD1-873F-1FB9F73B887D",270598,4232800,38.2139516,-77.62027368,"meters","UTM","18N","NAD83",0,"FRSP_SPOT","VS","Mixed hardwood canopy with ilex understory, lots of quercus alba seedlings.","056",3,"1","Park on Hancock road in a safe place. Plot is only about 100m from the road.",FALSE,NA,302,7,FALSE,22,NA,NA,"Thomas  Faust",2011-09-09 08:33:28,"Camilla  Seirup",2019-08-20 07:51:18,NA
"1AF0251E-4205-419F-BB27-BF0C348FE7FC",268625,4244049,38.31471986,-77.64646195,"meters","UTM","18N","NAD83",2.79999995231628,"FRSP_CHWILD","VS",NA,"220",36,"3","Park on Bullock Rd where trail crosses road and walk 40m to plot.  2009: Plot moved 20 meters east to avoid a confederate trench.",FALSE,NA,289,109,FALSE,12,NA,NA,"Jesse S Wheeler",2012-06-13 16:20:05,"Jesse S Wheeler",2013-08-20 13:09:32,NA
"1C96D8D5-EB62-4CB8-A27F-8B4DCC9FE210",266102,4113297,37.13682323,-77.63324696,"meters","UTM","18N","NAD83",2.70000004768372,"PETE_FIVE","VS","about 40 trees very little understory quads go quick.","270",24,"4","~130 m @ 188 degrees. Park at trailhead parking.",FALSE,NA,0,360,FALSE,21,NA,NA,"{1E30DBBB-8860-48D4-95EC-A8F90A7ED26B}",2010-09-28 08:53:52,"Camilla  Seirup",2014-09-11 07:58:37,NA
"1CA5EC49-9DD6-4632-BAD0-8D06AEC0C984",289602,4123051,37.23025297,-77.37164623,"meters","UTM","18N","NAD83",2.79999995231628,"PETE_EAST","VS","This Plot has been abandoned and will no longer be sampled. Was panel 3","185",21,NA,"Directions: Park on auto tour road and walk across field

Note: mowing near plot during plot sampling (not within plot)",TRUE,NA,254,118,FALSE,21,NA,NA,"Emilie  Schuler",2012-06-13 16:20:05,"Emilie  Schuler",2013-09-11 20:16:52,NA
"1D1C1A8B-483D-480F-9A3B-AB59888268BA",434843,4450051,40.19832779,-75.76553827,"meters","UTM","18N","NAD83",2.5,"HOFU","VS","Berberis, Berberis; Ouch, Ouch.  Plot sparse in canopy cover, but succeeding to forest.  Tulip poplar forest edge. 2014 - reset plot center because center stake was out of the ground. All trees and stakes were within tolerance.","247",15,"4","From 345 take road/path toward harrision lloyd house. (east 500m from gate) Walk edge of field then into woods 75m.",FALSE,NA,70,250,FALSE,23,NA,NA,"{501A76CE-EBF1-4C9C-84CE-9054EF60994B}",2010-09-26 20:09:10,"Camilla  Seirup",2018-07-26 08:57:34,NA
"1D4844E9-4548-448A-B4A9-6FED33D9EACA",309351,4408799,39.80780781,-77.22714391,"meters","UTM","18N","NAD83",2.40000009536743,"GETT","VS","Cow pasture by  resource office. Stakes mostly concealed-pounded in because of cow pasture. Exclude from data analysis.","088",19,NA,NA,TRUE,NA,NA,360,FALSE,12,NA,NA,NA,2012-06-13 16:20:05,NA,2012-06-13 16:20:05,NA
"1D582C0A-6A1F-4F7C-8C56-59EAEF233729",299852,4144052,37.42166404,-77.26185588,"meters","UTM","18N","NAD83",0,"RICH","VS","Plot was dry when visited in 2015 but is right on the edge of a beaver wetland complex and is very likely to flood. Many signs of beaver activity, but none of this activity appears to be recent. Microstegium/sedge/rush groundcover, Pinus taeda canopy with some acer rubrum.","016",6,"1","Park on Carter's Mill Rd, next to field. Cross field than cut in to woods, 550m total. Plot is on the edge of beaver wetland complex.",FALSE,NA,0,360,FALSE,31,NA,NA,"Johanna  Fickenscher",2011-10-03 12:07:35,"Kate M Ortenzi",2015-09-22 08:02:35,NA
"1DE004BC-84D4-4248-913B-8BE43B329B2F",463352,4439292,40.10312707,-75.42998294,"meters","UTM","18N","NAD83",5,"VAFO","VS","Open, microstegium ground cover. Vines and some thorny shrubs.","159",22,"3","Park at VC, walk county line rd to gravel road. Plot 50 m from trail/road.",FALSE,NA,103,283,FALSE,22,NA,NA,"Camilla  Seirup",2012-06-13 16:20:05,"Camilla  Seirup",2017-07-18 08:48:44,NA
"1F5A5B99-D209-4D9E-94BB-580B3788EE12",366107,4120823,37.22430836,-76.50921816,"meters","UTM","18N","NAD83",1.60000002384186,"COLO_YORK","VS","Center tag14030. Plot on a slope. Good amount of paw paw understory, some smilax not much else. Lir tul and liq sty canopy. BL stake offset at 11m to avoid deep wash.","337",5,"1","Parking at pull out by cemetary. Walk back along road to powerline M2334 TL14. You should be about 50m from the plot. Cut in an look for a break in the smilax and paw paw. The plot is immediately behind the dense edge.",FALSE,NA,15,195,FALSE,23,NA,NA,"Thomas  Faust",2011-10-04 14:49:45,"Camilla  Seirup",2019-08-09 08:10:48,NA
"1FC1314A-2A4E-45CC-B054-30BF08E3F1F3",268438,4244099,38.31512174,-77.64861512,"meters","UTM","18N","NAD83",2.59999990463257,"FRSP_CHWILD","BN","Added '5' to beginning of plot number to denote Bonus Plot. UTM E corrected, mjj.","5156",NA,"2",NA,FALSE,NA,0,360,FALSE,31,NA,NA,NA,2012-06-13 16:20:05,NA,2012-06-13 16:20:05,NA
"200A993B-0782-4EE2-8F05-BA47371DC1A0",308602,4406809,39.78972313,-77.23530699,"meters","UTM","18N","NAD83",1.39999997615814,"GETT","VS","Tulip Poplar and Oak Canopy, with fair amount of regen in the understory. Health cut between 2009 and 2013, probably in 2012. All down wood has been bucked. BR corner is on a large rock so no stake or rebar. Marked with a green X. UC has rebar. Some dead rosa multiflora on plot, it might have been treated at some point.","175",47,"3","Park at intersection of wheatfield road and the tour road. Hike up trail towards Little Round Top. Plot is on the right hand side, 30m off trail.",FALSE,NA,121,302,FALSE,22,NA,NA,"Camilla  Seirup",2012-06-13 16:20:05,"Camilla  Seirup",2013-07-30 10:23:08,NA
"207791B4-85B3-48FE-A244-FEE991906B1F",258105,4245545,38.32541107,-77.76717481,"meters","UTM","18N","NAD83",2.20000004768372,"FRSP_CHWILD","VS","Oak canopy with mixed hardwood sapling understory. Changed orientation from 360 to 2.","205",33,"3","190 Church Lane, Locust Grove,VA;  Enter trailhead at the back of church parking lot; follow to plot; plot about 30 meters form trail.",FALSE,NA,193,2,FALSE,29,NA,NA,"Camilla  Seirup",2012-06-13 16:20:05,"Camilla  Seirup",2013-08-21 09:27:55,NA
"20D7BF95-B92F-49A0-888D-2E0EEB0A4A89",269091,4244543,38.31928736,-77.64129855,"meters","UTM","18N","NAD83",2.70000004768372,"FRSP_CHWILD","VS","Mixed hardwood canopy, mountain laurel/vacc understory","280",40,"4","Parked in church parking lot across rd.",FALSE,NA,300,90,FALSE,21,NA,NA,"{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",2010-09-27 14:40:07,"Camilla  Seirup",2014-09-02 08:01:11,NA
"21081D65-A03B-4ADF-9EBB-7DBBDA02249F",269098,4244037,38.31473374,-77.64105318,"meters","UTM","18N","NAD83",2.09999990463257,"FRSP_CHWILD","VS",NA,"124",15,"2",NA,FALSE,NA,0,360,FALSE,21,NA,NA,"Thomas  Faust",2012-06-13 16:20:05,"Josh J Hamrick",2016-08-23 14:33:21,NA
"21E42D39-FDE6-41E9-90A6-98FAEF93D096",694433,4138262,37.3707303,-78.8042075,"meters","UTM","17N","NAD83",2.59999990463257,"APCO","VS","Relatively short oak capopy with dense sapling regeneration and smilax in mid and understory.","179",24,"3","Park on access road/trail. Plot is about 40 m from road. Road begins on Rt. 24 in large grass field, follow into woods.",FALSE,NA,108,358,FALSE,21,NA,NA,"Camilla  Seirup",2012-06-13 16:20:05,"Camilla  Seirup",2013-08-06 08:33:41,NA
"22492F4C-15B2-415A-80DF-B495985E36B4",291097,4123545,37.23503835,-77.35494579,"meters","UTM","18N","NAD83",0.800000011920929,"PETE_EAST","VS","Mixed hardwood w/ gaylussacia/vaccinium understory. Changed orientation to 67 from 70 - 2014.","308",29,"4","take trail near beginning of one way for 200 meters plot 50 meters from trail
located near stream",FALSE,NA,250,67,FALSE,23,NA,NA,"{501A76CE-EBF1-4C9C-84CE-9054EF60994B}",2010-09-23 13:04:03,"Camilla  Seirup",2019-12-11 09:38:21,NA
"22B0D369-AD73-4799-A694-52D5EA3D4B9E",268850,4244051,38.31479589,-77.64389159,"meters","UTM","18N","NAD83",0,"FRSP_CHWILD","VS","Quercus alba canopy, nyssa sylvatica and liquidambar subcanopy. Moderately dense kalmia latifolia midstory. Gaylussacia ground cover. Downed pinus crown just to the left of plot center.","048",10,"1","Park on tour road, 100m bushwack through moderately dense kalmia.",FALSE,NA,136,3,FALSE,21,NA,NA,"Thomas  Faust",2011-09-09 11:31:46,"Sam A Bietsch",2019-09-16 08:23:25,NA
